Institution,State,Plastic_Type,Quantity_kg,Disposal_Method
KIET Group of Institutions,Karnataka,PET Bottles,45.0,Recycled
KIET Group of Institutions,Karnataka,PET Bottles,32.5,Recycled
KIET Group of Institutions,Karnataka,LDPE Bags,18.0,Landfilled
KIET Group of Institutions,Karnataka,LDPE Bags,22.0,Landfilled
KIET Group of Institutions,Karnataka,Multi-layer Packaging,15.0,Incinerated
KIET Group of Institutions,Karnataka,PP Containers,28.0,Recycled
KIET Group of Institutions,Karnataka,HDPE Jerricans,19.5,Recycled
KIET Group of Institutions,Karnataka,PS Cups,12.0,Landfilled
KIET Group of Institutions,Karnataka,PS Plates,8.5,Landfilled
KIET Group of Institutions,Karnataka,PVC Pipes Scrap,7.0,Landfilled
KIET Group of Institutions,Karnataka,PET Bottles,38.0,Recycled
KIET Group of Institutions,Karnataka,PP Carry Bags,10.0,Landfilled
KIET Group of Institutions,Karnataka,LDPE Film,14.0,Open Burnt
KIET Group of Institutions,Karnataka,Multi-layer Packaging,20.0,Incinerated
KIET Group of Institutions,Karnataka,HDPE Containers,25.5,Recycled
KIET Group of Institutions,Karnataka,PET Bottles,41.0,Recycled
KIET Group of Institutions,Karnataka,PS Foam Packaging,9.0,Landfilled
KIET Group of Institutions,Karnataka,LDPE Bags,16.0,Landfilled
KIET Group of Institutions,Karnataka,PP Bottles,22.0,Recycled
KIET Group of Institutions,Karnataka,Multi-layer Packets,18.5,Incinerated
KIET Group of Institutions,Karnataka,PET Bottles,55.0,Recycled
KIET Group of Institutions,Karnataka,HDPE Drum Scrap,13.0,Recycled
KIET Group of Institutions,Karnataka,LDPE Wrap Film,11.0,Open Burnt
KIET Group of Institutions,Karnataka,PS Cutlery,6.5,Landfilled
KIET Group of Institutions,Karnataka,PP Lab Trays,17.0,Recycled
KIET Group of Institutions,Karnataka,PVC Tubing,5.0,Landfilled
KIET Group of Institutions,Karnataka,Multi-layer Sachets,12.0,Incinerated
KIET Group of Institutions,Karnataka,PET Trays,29.0,Recycled
KIET Group of Institutions,Karnataka,LDPE Shrink Film,20.0,Landfilled
KIET Group of Institutions,Karnataka,PP Woven Sacks,35.0,Recycled
KIET Group of Institutions,Karnataka,PET Water Bottles,48.0,Recycled
KIET Group of Institutions,Karnataka,HDPE Chemical Cans,16.0,Recycled
KIET Group of Institutions,Karnataka,PS Disposable Glasses,7.5,Landfilled
KIET Group of Institutions,Karnataka,LDPE Polythene Bags,19.0,Open Burnt
KIET Group of Institutions,Karnataka,Multi-layer Milk Packets,22.5,Incinerated
KIET Group of Institutions,Karnataka,PP Storage Bins,31.0,Recycled
KIET Group of Institutions,Karnataka,PET Juice Bottles,27.0,Recycled
KIET Group of Institutions,Karnataka,PVC Electrical Conduit,8.0,Landfilled
KIET Group of Institutions,Karnataka,LDPE Grocery Bags,13.5,Landfilled
KIET Group of Institutions,Karnataka,Multi-layer Chips Packets,17.0,Incinerated
KIET Group of Institutions,Karnataka,HDPE Shampoo Bottles,21.0,Recycled
KIET Group of Institutions,Karnataka,PET Cold Drink Bottles,52.0,Recycled
KIET Group of Institutions,Karnataka,PS Thermocol Blocks,11.5,Landfilled
KIET Group of Institutions,Karnataka,PP Rope,9.5,Recycled
KIET Group of Institutions,Karnataka,LDPE Bubble Wrap,14.5,Landfilled
KIET Group of Institutions,Karnataka,Multi-layer Biscuit Packs,16.0,Incinerated
KIET Group of Institutions,Karnataka,PET Sauce Bottles,33.0,Recycled
KIET Group of Institutions,Karnataka,HDPE Water Tanks Scrap,42.0,Recycled
KIET Group of Institutions,Karnataka,PS Ice Cream Cups,5.5,Landfilled
KIET Group of Institutions,Karnataka,PVC Footwear Sole Waste,6.0,Landfilled
KIET Group of Institutions,Karnataka,LDPE Agricultural Film,18.0,Open Burnt
KIET Group of Institutions,Karnataka,Multi-layer Ketchup Sachets,10.0,Incinerated
KIET Group of Institutions,Karnataka,PP Pharmaceutical Vials,24.0,Recycled
KIET Group of Institutions,Karnataka,PET Medical Bottles,30.5,Recycled
KIET Group of Institutions,Karnataka,HDPE Lab Reagent Bottles,14.0,Recycled
KIET Group of Institutions,Karnataka,PS Laboratory Petri Dishes,4.5,Incinerated
KIET Group of Institutions,Karnataka,LDPE Sealing Film,12.5,Landfilled
KIET Group of Institutions,Karnataka,Multi-layer Retort Pouches,15.0,Incinerated
