"Category","Building & construction","Consumer & institutional Products","Electrical/electronics","Industrial/machinery","Marine coatings","Other","Packaging","Personal care products","Road marking","Textile sector - clothing","Textile sector - others","Transportation - other","Transportation - tyres"
"2019",76.893,46.662,17.305,2.683,0.541,66.315,142.599,0.027,0.682,28.759,15.116,54.431,7.734
"2020",72.429,46.427,17.181,2.694,0.527,66.004,141.569,0.325,0.635,28.051,14.763,51.319,7.607
"2021",75.379,47.141,17.507,2.724,0.543,66.978,144.351,0.224,0.665,28.933,15.118,53.824,7.707
"2022",77.761,48.517,17.959,2.7880000000000003,0.563,68.725,148.609,0.156,0.689,29.882,15.533,56.272,7.932
"2023",80.193,49.814,18.469,2.855,0.584,70.47,152.499,0.11,0.714,30.785,15.892,58.586,8.166
"2024",82.328,51.15,18.917,2.9130000000000003,0.604,72.138,156.48,0.079,0.736,31.684,16.259,60.853,8.363
"2025",84.401,52.527,19.362,2.969,0.623,73.872,160.584,0.057,0.757,32.593,16.626,63.094,8.554
"2026",86.466,53.957,19.823,3.022,0.643,75.661,164.837,0.043,0.778,33.529,17.007,65.359,8.727
"2027",88.482,55.406,20.291,3.073,0.662,77.465,169.144,0.034,0.799,34.459,17.385,67.602,8.903
"2028",90.596,56.964,20.806,3.125,0.684,79.349,173.676,0.027,0.82,35.448,17.797,69.953,9.074
"2029",92.771,58.583,21.333,3.175,0.706,81.309,178.374,0.022,0.842,36.452,18.215,72.383,9.252
"2030",95.015,60.267,21.879,3.227,0.728,83.355,183.238,0.019,0.864,37.466,18.636,74.929,9.441
"2031",97.34,62.009,22.431,3.279,0.751,85.423,188.238,0.017,0.888,38.529,19.08,77.485,9.649000000000001
"2032",99.713,63.803,23.002,3.33,0.775,87.539,193.347,0.016,0.912,39.621,19.536,80.132,9.861
"2033",102.122,65.644,23.597,3.3810000000000002,0.8,89.668,198.535,0.015,0.937,40.754,20.013,82.842,10.075
"2034",104.582,67.525,24.223,3.432,0.825,91.848,203.828,0.014,0.962,41.904,20.501,85.646,10.289
"2035",107.076,69.432,24.871,3.48,0.852,94.031,209.16,0.014,0.988,43.097,21.006,88.493,10.512
"2036",109.623,71.367,25.534,3.529,0.879,96.181,214.543,0.014,1.015,44.338,21.536,91.338,10.74
"2037",112.244,73.378,26.252,3.583,0.908,98.412,220.096,0.013,1.043,45.613,22.095,94.266,10.967
"2038",114.922,75.422,26.991,3.637,0.938,100.686,225.732,0.013,1.071,46.905,22.665,97.255,11.198
"2039",117.666,77.503,27.754,3.692,0.968,103.005,231.484,0.013,1.1,48.209,23.244,100.292,11.441
"2040",120.461,79.62,28.556,3.748,0.999,105.363,237.312,0.012,1.13,49.541,23.841,103.384,11.686
"2041",123.336,81.776,29.342,3.8040000000000003,1.029,107.797,243.217,0.013,1.159,50.855,24.431,106.426,11.921
"2042",126.26,83.974,30.136,3.862,1.06,110.215,249.243,0.013,1.19,52.174,25.033,109.474,12.153
"2043",129.267,86.212,30.953,3.919,1.09,112.689,255.425,0.013,1.221,53.464,25.63,112.579,12.383
"2044",132.354,88.491,31.788,3.976,1.121,115.228,261.739,0.014,1.2530000000000001,54.744,26.227,115.749,12.618
"2045",135.506,90.811,32.641,4.033,1.152,117.825,268.136,0.014,1.285,56.045,26.832,118.958,12.859
"2046",138.746,93.162,33.506,4.091,1.183,120.478,274.644,0.014,1.319,57.336,27.436,122.225,13.105
"2047",142.033,95.553,34.403,4.148,1.215,123.131,281.21,0.015,1.353,58.641,28.052,125.51,13.343
"2048",145.433,97.989,35.317,4.206,1.2469999999999999,125.844,287.957,0.015,1.388,59.945,28.671,128.906,13.59
"2049",148.92,100.468,36.261,4.266,1.279,128.616,294.826,0.015,1.424,61.229,29.29,132.378,13.829
"2050",152.547,102.984,37.216,4.327,1.31,131.489,301.904,0.016,1.461,62.464,29.896,135.95,14.068
"2051",156.208,105.564,38.204,4.386,1.343,134.377,309.025,0.016,1.499,63.759,30.53,139.581,14.308
"2052",159.969,108.186,39.211,4.445,1.376,137.323,316.277,0.016,1.538,65.056,31.172,143.307,14.55
"2053",163.838,110.87,40.252,4.505,1.41,140.347,323.71,0.016,1.5779999999999998,66.343,31.822,147.132,14.793
"2054",167.811,113.597,41.314,4.5649999999999995,1.444,143.433,331.287,0.017,1.62,67.63,32.479,151.041,15.039
"2055",171.893,116.394,42.416,4.626,1.479,146.594,339.048,0.017,1.662,68.905,33.145,155.038,15.285
"2056",176.078,119.197,43.523,4.687,1.513,149.795,347.037,0.017,1.705,70.16,33.803,159.05,15.532
"2057",180.389,122.082,44.675,4.749,1.548,153.085,355.244,0.018,1.749,71.407,34.471,163.139,15.782
"2058",184.818,125.008,45.845,4.811,1.583,156.45,363.626,0.018,1.795,72.655,35.143,167.293,16.037
"2059",189.38,128.031,47.068,4.874,1.62,159.911,372.259,0.018,1.842,73.905,35.829,171.537,16.296
"2060",193.481,131.242,48.266,4.928,1.658,163.489,381.379,0.018,1.885,75.296,36.575,175.845,16.564
