"Category","ABS, ASA, SAN","Bioplastics","Elastomers (tyres)","Fibres","HDPE","LDPE, LLDPE","Marine coatings","Other","PET","PP","PS","PUR","PVC","Road marking coatings"
"2019",8.943999999999999,2.326,7.734,60.448,55.544,54.303,0.541,80.96,24.918,72.805,21.116,18.032,51.392,0.682
"2020",8.799,2.294,7.607,58.928,54.589,53.732,0.527,78.575,24.674,71.883,20.633,17.493,49.162,0.635
"2021",8.997,2.3449999999999998,7.707,60.634,55.831,54.816,0.543,80.904,25.216,73.483,21.142,17.988,50.821,0.665
"2022",9.274000000000001,2.414,7.932,62.571,57.436,56.569,0.563,83.612,25.958,75.672,21.761,18.559,52.376,0.689
"2023",9.548,2.479,8.166,64.382,58.969,58.237,0.584,86.268,26.594,77.758,22.363,19.127,53.949,0.714
"2024",9.813,2.543,8.363,66.186,60.46,59.937,0.604,88.806,27.251,79.841,22.938,19.657,55.368,0.736
"2025",10.082,2.609,8.554,68.004,61.974,61.696,0.623,91.357,27.924,81.962,23.518,20.191,56.77,0.757
"2026",10.358,2.676,8.727,69.874,63.528,63.521,0.643,93.955,28.619,84.147,24.11,20.733,58.182,0.778
"2027",10.636,2.7439999999999998,8.903,71.736,65.087,65.376,0.662,96.545,29.317,86.348,24.703,21.273,59.576,0.799
"2028",10.935,2.816,9.074,73.718,66.724,67.342,0.684,99.268,30.05,88.676,25.332,21.841,61.041,0.82
"2029",11.243,2.89,9.252,75.743,68.413,69.39,0.706,102.084,30.812,91.083,25.981,22.428,62.552,0.842
"2030",11.565,2.966,9.441,77.81,70.158,71.524,0.728,105.021,31.604,93.577,26.652,23.039,64.115,0.864
"2031",11.893,3.044,9.649000000000001,79.956,71.95,73.725,0.751,107.992,32.411,96.132,27.343,23.661,65.725,0.888
"2032",12.231,3.124,9.861,82.164,73.778,75.988,0.775,111.05,33.235,98.751,28.05,24.299,67.37,0.912
"2033",12.579,3.205,10.075,84.446,75.632,78.3,0.8,114.162,34.068,101.42,28.771,24.947,69.041,0.937
"2034",12.938,3.289,10.289,86.775,77.523,80.672,0.825,117.368,34.915,104.152,29.508,25.613,70.751,0.962
"2035",13.304,3.373,10.512,89.172,79.43,83.074,0.852,120.611,35.759,106.916,30.255,26.286,72.482,0.988
"2036",13.674,3.458,10.74,91.639,81.354,85.51,0.879,123.852,36.596,109.708,31.012,26.96,74.239,1.015
"2037",14.062,3.5460000000000003,10.967,94.195,83.339,88.041,0.908,127.208,37.453,112.598,31.798000000000002,27.661,76.053,1.043
"2038",14.458,3.635,11.198,96.792,85.354,90.624,0.938,130.633,38.317,115.535,32.598,28.376,77.906,1.071
"2039",14.862,3.726,11.441,99.423,87.409,93.271,0.968,134.123,39.192,118.529,33.416,29.106,79.803,1.1
"2040",15.278,3.818,11.686,102.115,89.494,95.967,0.999,137.683,40.071,121.574,34.25,29.852,81.737,1.13
"2041",15.693999999999999,3.912,11.921,104.786,91.608,98.717,1.029,141.26,40.96,124.638,35.098,30.609,83.717,1.159
"2042",16.116,4.006,12.153,107.479,93.749,101.526,1.06,144.845,41.866,127.746,35.958,31.369,85.722,1.19
"2043",16.546,4.102,12.383,110.157,95.939,104.415,1.09,148.508,42.798,130.921,36.84,32.147,87.781,1.221
"2044",16.986,4.199,12.618,112.842,98.174,107.375,1.121,152.253,43.747,134.157,37.74,32.944,89.892,1.2530000000000001
"2045",17.434,4.298,12.859,115.571,100.441,110.39,1.152,156.065,44.703,137.439,38.657,33.757,92.046,1.285
"2046",17.888,4.398,13.105,118.305,102.748,113.469,1.183,159.949,45.675,140.773,39.592,34.587,94.254,1.319
"2047",18.351,4.5,13.343,121.072,105.075,116.59,1.215,163.861,46.649,144.143,40.539,35.425,96.49,1.353
"2048",18.825,4.603,13.59,123.866,107.461,119.802,1.2469999999999999,167.883,47.651,147.599,41.511,36.286,98.795,1.388
"2049",19.31,4.708,13.829,126.662,109.892,123.083,1.279,171.998,48.668,151.122,42.504,37.167,101.156,1.424
"2050",19.804,4.816,14.068,129.423,112.394,126.462,1.31,176.238,49.719,154.733,43.524,38.076,103.604,1.461
"2051",20.31,4.925,14.308,132.283,114.92,129.882,1.343,180.535,50.767,158.395,44.56,38.996,106.077,1.499
"2052",20.826,5.035,14.55,135.174,117.496,133.374,1.376,184.931,51.831,162.128,45.616,39.938,108.612,1.538
"2053",21.356,5.148,14.793,138.092,120.136,136.959,1.41,189.445,52.919,165.956,46.701,40.905,111.218,1.5779999999999998
"2054",21.897,5.264,15.039,141.037,122.829,140.621,1.444,194.056,54.025,169.856,47.808,41.894,113.889,1.62
"2055",22.452,5.381,15.285,144.003,125.588,144.381,1.479,198.779,55.152,173.854,48.945,42.908,116.631,1.662
"2056",23.011,5.5,15.532,146.951,128.391,148.295,1.513,203.551,56.293,177.894,50.098,43.934,119.431,1.705
"2057",23.586,5.622,15.782,149.927,131.271,152.322,1.548,208.44,57.462,182.042,51.286,44.989,122.312,1.749
"2058",24.17,5.746,16.037,152.929,134.21,156.438,1.583,213.424,58.653,186.266,52.498,46.066,125.267,1.795
"2059",24.775,5.873,16.296,155.978,137.236,160.686,1.62,218.541,59.873,190.617,53.749,47.174,128.309,1.842
"2060",25.393,6.006,16.564,159.247,140.33,165.107,1.658,223.701,61.173,195.117,55.002,48.274,131.169,1.885
